wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
block,12,12.0,51.0,9.5,55.794978,37.692555,13900000
panel,4,17.0,51.0,9.0,55.740451,37.867653999999995,7800000
panel,7,9.0,51.0,6.0,55.750814,37.832997,8400000
monolith,12,14.0,51.0,8.0,55.74029399999999,37.851467,9500000
monolith,13,26.0,50.0,8.0,55.754470999999995,37.796966,11150000
panel,13,17.0,52.0,10.0,55.812863,37.787677,11800000
brick,3,5.0,53.0,6.0,55.757560999999995,37.776799,8400000
panel,6,14.0,53.0,10.0,55.709617,37.895781,8690690
brick,2,5.0,54.0,9.0,55.798494999999996,37.785216,8800000
brick,8,14.0,53.0,8.6,55.787766000000005,37.73359,10400000
panel,16,16.0,53.8,12.0,55.758423,37.838639,7800000
panel,2,9.0,53.0,7.0,55.738789000000004,37.820565,7390000
panel,2,17.0,53.5,8.5,55.820845,37.824607,7800000
brick,1,5.0,53.0,8.0,55.79735600000001,37.780958,8000000
block,12,12.0,54.0,10.0,55.751964,37.796589000000004,9100000
monolithBrick,7,10.0,53.3,10.0,55.799866,37.716055,9300000
panel,3,12.0,53.3,8.6,55.746531999999995,37.776556,10500000
monolith,10,16.0,53.5,10.1,55.792827,37.81548,10980000
monolith,5,32.0,53.0,10.0,55.818948,37.702706,11000000
panel,10,25.0,54.0,9.0,55.779089,37.72175,11750000
brick,3,6.0,53.0,8.0,55.790236,37.673924,13930000
brick,1,5.0,54.0,6.0,55.801697999999995,37.784713,8380000
panel,4,9.0,54.0,10.0,55.818006999999994,37.834453,9500000
panel,1,9.0,53.0,6.1,55.723794999999996,37.83183,7190000
brick,4,5.0,53.0,7.0,55.752120999999995,37.801934,8000000
panel,10,14.0,53.0,8.7,55.829502000000005,37.821849,8100000
brick,1,9.0,53.2,6.2,55.714043999999994,37.861645,8100000
monolith,10,14.0,54.0,11.0,55.742225,37.759335,8250000
monolithBrick,10,14.0,54.0,11.0,55.742225,37.759335,8250000
brick,1,5.0,54.0,9.0,55.801697999999995,37.784713,8350000
brick,1,5.0,54.0,9.0,55.801697999999995,37.784713,8360000
panel,11,12.0,53.2,8.5,55.765752,37.826601000000004,8400000
brick,3,5.0,53.0,6.0,55.757560999999995,37.776799,8600000
panel,9,10.0,53.0,10.0,55.740041000000005,37.761734000000004,8600000
panel,11,17.0,53.0,10.5,55.742428000000004,37.85073,8580000
panel,11,17.0,53.7,9.2,55.742428000000004,37.85073,8600000
monolithBrick,10,14.0,54.0,15.8,55.742225,37.759335,8700000
brick,3,5.0,53.4,6.0,55.808533,37.719916999999995,8800000
brick,5,5.0,53.4,6.0,55.808533,37.719916999999995,8800000
brick,3,5.0,53.4,5.9,55.808533,37.719916999999995,8800000
brick,3,5.0,53.4,5.9,55.808533,37.719916999999995,8800000
panel,6,16.0,54.0,9.5,55.73555,37.855958,8800000
brick,8,9.0,54.0,9.0,55.714043999999994,37.861645,8990000
panel,6,17.0,54.0,10.0,55.738662,37.870951,9000000
block,1,16.0,54.0,8.0,55.814315,37.817060999999995,9300000
panel,17,17.0,54.0,9.0,55.737816,37.864789,9500000
brick,1,5.0,54.0,6.0,55.776821,37.713539000000004,9950000
brick,5,5.0,54.0,9.0,55.816379000000005,37.72502,10000000
brick,3,4.0,54.0,7.0,55.785680000000006,37.738071999999995,10000000
brick,7,14.0,53.0,9.0,55.787006999999996,37.733689,10300000
brick,3,12.0,53.0,7.0,55.784177,37.733042,10400000
brick,2,14.0,53.6,9.1,55.787766000000005,37.73359,10400000
panel,6,9.0,53.0,11.0,55.751629,37.799805,10500000
panel,9,12.0,53.0,9.0,55.812287,37.700514,10900000
monolithBrick,1,17.0,54.0,8.0,55.797872999999996,37.722307,12500000
panel,8,14.0,53.2,9.0,55.759638,37.804629,12650000
monolithBrick,4,12.0,53.0,15.0,55.813885,37.807925,13600000
monolithBrick,18,18.0,53.0,10.0,55.794421,37.772262,16743000
panel,7,12.0,54.0,8.0,55.778664,37.834938,7500000
panel,1,17.0,54.0,9.2,55.745670999999994,37.877958,7700000
panel,8,16.0,54.0,12.0,55.772279000000005,37.831901,7800000
panel,10,12.0,54.0,9.0,55.713136,37.891657,8000000
panel,4,9.0,54.0,6.0,55.813733,37.80603,8200000
brick,1,5.0,54.0,9.0,55.801697999999995,37.784713,8480000
brick,3,5.0,53.3,8.0,55.792832,37.735243,8400000
brick,1,5.0,54.0,9.0,55.801697999999995,37.784713,8500000
monolith,8,17.0,53.6,9.0,55.742549,37.878496999999996,8500000
brick,3,5.0,53.0,6.0,55.757560999999995,37.776799,8500000
panel,2,12.0,53.4,11.0,55.715123999999996,37.89181,8600000
panel,2,17.0,53.0,8.4,55.826215000000005,37.766037,8650000
brick,2,5.0,54.0,6.0,55.757805000000005,37.778263,8650000
brick,3,5.0,53.4,6.0,55.808533,37.719916999999995,8800000
brick,6,12.0,54.0,10.0,55.740274,37.766046,8850000
panel,3,12.0,53.4,9.0,55.712964,37.894020000000005,9000000
brick,3,5.0,54.0,6.0,55.75525699999999,37.806785,9100000
block,11,17.0,53.8,9.2,55.737730000000006,37.860279,9500000
panel,10,17.0,53.0,9.0,55.74324300000001,37.870825,9500000
panel,9,14.0,53.3,8.6,55.742813,37.854403999999995,9700000
panel,7,17.0,54.0,9.2,55.797989,37.79985,10000000
brick,1,5.0,54.0,6.0,55.776993000000004,37.714634999999994,9999000
panel,8,16.0,54.0,6.5,55.749623,37.793479999999995,9990000
block,13,22.0,53.2,9.0,55.774598,37.829674,10000000
panel,2,12.0,54.0,9.0,55.740857,37.779385999999995,10200000
brick,8,14.0,53.3,8.6,55.787766000000005,37.73359,10400000
panel,13,17.0,54.0,10.5,55.808847,37.779296,10500000
panel,8,14.0,53.0,8.0,55.758747,37.833896,10800000
brick,5,6.0,54.0,7.5,55.803514,37.810629,11450000
panel,3,25.0,54.0,10.0,55.779089,37.72175,11900000
panel,8,14.0,53.2,9.0,55.759638,37.804629,12590000
brick,5,5.0,54.0,4.0,55.783190000000005,37.710144,12900000
monolith,2,7.0,53.9,20.0,55.738884999999996,37.858905,13200000
monolith,15,17.0,56.0,16.0,55.816480000000006,37.702158000000004,14700000
monolith,2,23.0,56.6,10.0,55.818006999999994,37.750712,8100000
brick,7,12.0,56.6,7.9,55.782146999999995,37.729727000000004,10700000
brick,4,5.0,55.0,7.0,55.814446999999994,37.72537,8500000
brick,2,5.0,57.0,8.0,55.760099,37.793813,11500000
block,1,16.0,55.0,7.0,55.7664,37.823727000000005,8000000
brick,5,5.0,56.5,9.5,55.773586,37.732979,8800000
monolith,2,25.0,55.4,9.3,55.719393999999994,37.820906,9250000
panel,10,10.0,56.0,11.2,55.71504300000001,37.894172999999995,9800000
stalin,1,12.0,57.0,9.0,55.782061,37.736042,10100000
panel,2,18.0,55.0,10.0,55.8169,37.694639,10300000
brick,13,22.0,57.0,10.0,55.810607,37.793382,11500000
monolithBrick,2,9.0,55.0,9.5,55.754659,37.810072,12000000
panel,17,17.0,55.0,10.0,55.796440000000004,37.810881,12900000
brick,2,9.0,57.0,7.0,55.77946899999999,37.724184,13000000
brick,4,12.0,57.0,8.9,55.781388,37.724957,13400000
brick,9,10.0,57.0,9.0,55.781772,37.73898,15500000
monolith,2,25.0,55.1,9.3,55.719393999999994,37.820906,9250000
brick,1,5.0,55.0,7.2,55.793814000000005,37.819505,6161600
block,1,5.0,55.6,5.8,55.81805799999999,37.802419,8100000
brick,2,5.0,55.0,7.0,55.748822,37.802597999999996,8150000
brick,1,5.0,56.2,6.5,55.75451700000001,37.719172,8800000
panel,4,9.0,57.0,6.0,55.751290000000004,37.810674,8990000
monolith,6,16.0,55.0,7.0,55.750175,37.796490000000006,8900000
brick,5,9.0,56.9,6.0,55.816818999999995,37.808725,8900000
brick,2,5.0,56.9,9.5,55.824631999999994,37.760216,9000000
brick,3,5.0,56.0,6.0,55.805811,37.793346,9000000
brick,2,5.0,56.6,7.8,55.793808999999996,37.785216,9200000
brick,2,9.0,57.0,5.7,55.754405000000006,37.835243,9200000
brick,1,9.0,55.1,6.0,55.758078000000005,37.759873999999996,9200000
monolith,2,25.0,55.0,9.0,55.719393999999994,37.820906,9250000
brick,3,5.0,56.0,7.1,55.814972999999995,37.724354999999996,9400000
panel,8,16.0,55.0,12.0,55.814223999999996,37.706407,9400000
panel,11,16.0,57.0,8.0,55.711468,37.889860999999996,9500000
panel,4,22.0,56.7,10.2,55.740563,37.861878000000004,9500000
brick,1,5.0,56.2,6.5,55.75451700000001,37.719172,9500000
panel,5,16.0,56.0,11.0,55.799542,37.741054999999996,9700000
brick,5,5.0,56.0,8.0,55.751665,37.781496999999995,9800000
brick,4,9.0,55.0,16.0,55.761543,37.779628,9800000
stalin,3,8.0,55.0,8.0,55.759131999999994,37.760584,9800000
stalin,4,5.0,55.2,6.0,55.785215,37.739061,9900000
brick,2,5.0,57.0,8.0,55.805341000000006,37.719190000000005,9990000
block,4,5.0,55.6,6.0,55.812231000000004,37.731964000000005,10000000
block,2,10.0,55.5,7.8,55.799866,37.716055,9970000
panel,1,16.0,56.0,7.0,55.749841,37.796903,10000000
stalin,1,12.0,57.0,9.0,55.782061,37.736042,10145000
panel,8,14.0,55.2,9.0,55.811012,37.706011,10300000
brick,2,5.0,55.0,8.0,55.791996999999995,37.789788,10300000
brick,1,5.0,55.0,5.0,55.753985,37.824948,10500000
brick,3,5.0,55.0,9.0,55.78898100000001,37.784686,10500000
monolithBrick,9,22.0,56.4,10.0,55.810607,37.793382,11000000
panel,2,5.0,56.0,9.0,55.73350799999999,37.851143,11050000
monolithBrick,10,15.0,56.0,12.0,55.819176,37.721193,11149000
panel,1,5.0,56.0,8.5,55.80908,37.797963,11300000
brick,8,9.0,55.3,5.8,55.76174,37.777751,11300000
brick,1,5.0,55.0,8.0,55.797973999999996,37.68897,11500000
monolith,10,13.0,56.0,10.0,55.791152000000004,37.815866,11500000
brick,4,5.0,56.0,9.0,55.794538,37.78863,11749999
brick,4,5.0,57.0,10.0,55.794538,37.78863,11750000
stalin,4,5.0,56.0,10.0,55.794538,37.78863,11999999
monolith,16,23.0,55.0,9.2,55.818017000000005,37.711437,13200000
brick,7,16.0,55.4,8.8,55.819949,37.707467,13500000
panel,7,24.0,56.7,10.2,55.79272099999999,37.733284000000005,13500000
brick,7,16.0,55.0,9.2,55.819949,37.707467,13500000
brick,7,16.0,55.4,9.2,55.819949,37.707467,13500000
brick,3,12.0,57.0,12.0,55.789998,37.662335,15300000
stalin,5,5.0,55.0,9.6,55.790236,37.673924,19000000
panel,12,12.0,56.0,8.6,55.774775,37.827338,7480000
panel,1,9.0,55.0,6.0,55.721818000000006,37.818884999999995,7500000
brick,2,9.0,56.6,6.2,55.816465,37.800892,7900000
panel,8,9.0,57.0,12.0,55.714967,37.895691,7999000
brick,1,5.0,56.4,9.0,55.833324,37.686195,8000000
panel,1,9.0,56.7,6.1,55.772208,37.834146999999994,8100000
brick,1,9.0,57.0,6.0,55.821239,37.789896,8150000
panel,12,17.0,56.2,10.0,55.817567000000004,37.875227,8199000
panel,6,9.0,55.0,6.0,55.776026,37.820807,8250000
brick,3,5.0,55.3,12.0,55.795312,37.811492,8400000
brick,5,5.0,56.2,7.5,55.769099,37.732278,8400000
brick,5,5.0,56.0,12.0,55.791157,37.784785,8500000
brick,5,5.0,55.0,9.8,55.791157,37.784785,8500000
panel,4,5.0,56.0,6.0,55.798646999999995,37.812911,8500000
brick,5,5.0,56.8,6.0,55.755773,37.774131,8700000
panel,9,9.0,56.7,6.0,55.802376,37.822631,8650000
brick,1,5.0,55.0,12.0,55.808827,37.790166,8899000
panel,8,9.0,57.0,11.0,55.715317000000006,37.898682,8800000
brick,3,5.0,56.0,5.8,55.753276,37.795933000000005,8950000
brick,2,9.0,56.7,5.0,55.771373,37.731012,9000000
brick,3,5.0,55.0,6.0,55.82530500000001,37.761716,9200000
panel,15,16.0,56.0,8.5,55.71016899999999,37.888953,9350000
monolithBrick,5,9.0,57.0,9.9,55.731506,37.853578000000006,9500000
brick,4,5.0,55.0,6.0,55.793389000000005,37.693381,9800000
brick,8,9.0,55.7,5.5,55.771373,37.731012,9750000
panel,8,9.0,56.6,8.1,55.761846999999996,37.733527,9900000
brick,2,5.0,55.0,7.0,55.81615600000001,37.730203,9900000
panel,7,9.0,56.9,6.0,55.800990000000006,37.822406,10000000
brick,2,5.0,55.0,8.0,55.816672,37.721175,10000000
panel,9,17.0,55.0,9.5,55.737816,37.864789,10000000
brick,2,5.0,56.5,7.2,55.793606000000004,37.810736999999996,10000000
brick,3,5.0,56.0,11.0,55.790453,37.657736,10150000
monolithBrick,1,17.0,56.0,10.0,55.805412,37.814375,10200000
brick,4,5.0,55.2,7.6,55.753428,37.778146,10300000
brick,5,5.0,55.0,6.0,55.789178,37.818202,10500000
brick,5,5.0,55.3,5.5,55.789178,37.818202,10500000
brick,3,5.0,55.0,9.0,55.74598,37.784955,10500000
block,14,16.0,55.0,12.0,55.766461,37.827033,10950000
brick,2,9.0,57.0,6.0,55.815054,37.712327,11000000
monolith,10,13.0,56.0,10.0,55.791152000000004,37.815866,11450000
brick,4,5.0,56.0,10.0,55.794538,37.78863,11750000
monolith,2,25.0,56.0,12.0,55.818862,37.710862,12500000
brick,8,10.0,57.0,9.0,55.782835,37.729619,12500000
monolith,16,23.0,55.0,9.2,55.818017000000005,37.711437,13200000
monolith,2,24.0,56.0,10.0,55.749354000000004,37.786213000000004,13900000
brick,10,10.0,56.0,8.0,55.782835,37.729619,15000000
monolithBrick,12,14.0,57.0,12.0,55.789188,37.790525,16000000
brick,5,5.0,55.0,9.6,55.790236,37.673924,19000000
brick,2,5.0,56.6,7.5,55.762094999999995,37.788387,8700000
brick,4,9.0,57.0,5.0,55.779449,37.729988,10000000
panel,2,17.0,55.0,8.0,55.740791,37.868894,10200000
panel,2,9.0,58.0,6.0,55.722497,37.816711,8200000
block,5,5.0,59.0,6.0,55.776157999999995,37.72387,8499000
monolith,3,12.0,59.0,10.0,55.808234999999996,37.810171000000004,11700000
panel,2,16.0,58.0,10.0,55.805356,37.708967,11500000
monolith,13,14.0,58.0,10.0,55.791152000000004,37.815866,11700000
panel,3,9.0,58.8,6.0,55.716122999999996,37.824715000000005,7650000
panel,1,17.0,59.0,9.0,55.805412,37.829072,8000000
brick,5,5.0,59.0,6.0,55.776157999999995,37.72387,8499000
panel,2,9.0,58.1,6.0,55.810966,37.821508,8600000
panel,2,9.0,58.6,6.5,55.740801,37.82591,9150000
panel,2,9.0,58.9,6.0,55.740207999999996,37.820861,9490000
panel,7,17.0,58.0,10.0,55.741358,37.870682,9500000
panel,18,25.0,58.9,14.7,55.77638100000001,37.736878000000004,10500000
monolith,2,16.0,59.0,10.0,55.808234999999996,37.810171000000004,10600000
panel,20,25.0,58.0,8.9,55.779089,37.72175,12600000
monolith,4,11.0,58.0,19.0,55.784617000000004,37.695797999999996,16750000
monolith,5,9.0,59.0,6.0,55.819312,37.711931,12000000
panel,3,12.0,58.8,12.0,55.71504300000001,37.894172999999995,9000000
block,15,16.0,58.0,12.5,55.824066,37.817654,10000000
panel,2,9.0,59.0,6.1,55.824121999999996,37.82352,7500000
brick,2,9.0,59.0,16.0,55.82236700000001,37.785899,7740000
panel,1,9.0,59.0,6.0,55.756979,37.833366,7800000
panel,1,9.0,58.0,6.0,55.825962,37.82555,8200000
panel,6,9.0,59.0,6.0,55.737953000000005,37.824436,8200000
panel,6,9.0,58.6,6.2,55.720905,37.808069,8300000
panel,1,9.0,58.6,6.0,55.766769999999994,37.737219,8500000
panel,3,9.0,58.8,6.0,55.71969300000001,37.817951,8900000
panel,2,9.0,58.9,6.5,55.718272999999996,37.827832,9100000
brick,2,5.0,58.0,8.1,55.795590000000004,37.800092,9480000
panel,3,16.0,58.0,6.0,55.78287099999999,37.728010999999995,9500000
panel,3,9.0,58.3,6.0,55.812251,37.804718,9900000
panel,2,5.0,58.0,6.0,55.815539,37.708221,9900000
panel,12,14.0,58.0,12.0,55.73940699999999,37.777419,10510000
brick,2,5.0,58.0,7.0,55.743607999999995,37.789582,10800000
brick,5,5.0,58.4,8.3,55.791571999999995,37.771678,10950000
panel,10,17.0,58.3,10.0,55.75436,37.798502,11800000
monolith,6,24.0,58.0,13.0,55.758965,37.739141,14000000
monolithBrick,7,18.0,58.0,11.0,55.793595999999994,37.771848999999996,17051000
panel,1,9.0,59.0,6.0,55.756979,37.833366,7000000
panel,8,9.0,59.0,7.0,55.740801,37.82591,7800000
panel,9,9.0,58.9,6.0,55.720905,37.808069,8330000
block,7,9.0,58.8,6.1,55.722137,37.804970000000004,8400000
brick,3,5.0,58.0,6.0,55.762885,37.733329,8500000
panel,7,9.0,59.0,6.0,55.719809999999995,37.833087,8500000
panel,7,9.0,58.0,6.0,55.738231000000006,37.82785,8795000
panel,1,9.0,58.2,5.8,55.810966,37.821508,9000000
panel,3,5.0,59.0,8.0,55.812884,37.812875,9300000
panel,8,9.0,58.7,6.0,55.813288,37.703074,9500000
panel,5,22.0,58.2,10.0,55.71767,37.886672,9600000
brick,1,5.0,59.0,8.0,55.794776,37.691531,9800000
panel,6,18.0,58.0,10.0,55.810774,37.79181,10000000
brick,8,9.0,58.0,6.0,55.804095999999994,37.713054,10200000
brick,2,9.0,58.0,5.0,55.754405000000006,37.835243,10200000
monolith,12,14.0,58.0,10.0,55.736316,37.859784999999995,10400000
brick,3,9.0,58.0,6.0,55.792984,37.800694,10500000
panel,2,7.0,59.0,12.0,55.73269200000001,37.859543,10500000
block,1,22.0,59.0,9.0,55.774598,37.829674,10900000
panel,7,14.0,59.0,10.0,55.76029200000001,37.734452000000005,11200000
brick,2,5.0,59.0,9.0,55.794846,37.780131,11500000
brick,5,5.0,58.0,6.0,55.78955799999999,37.665605,12300000
panel,1,9.0,58.7,6.0,55.756979,37.833366,7800000
panel,5,9.0,59.0,6.0,55.719156000000005,37.831219,9000000
brick,3,7.0,58.0,9.0,55.818442000000005,37.722396999999994,13000000
monolith,10,11.0,62.0,11.3,55.723606999999994,37.824032,12028000
panel,4,25.0,60.4,12.2,55.77638100000001,37.736878000000004,10000000
panel,6,9.0,61.4,6.0,55.809226,37.828497,10180000
panel,6,14.0,60.0,12.8,55.716113,37.879126,10300000
panel,5,17.0,61.2,12.8,55.721336,37.903138,10500000
panel,14,14.0,60.4,11.5,55.734334,37.852931,10250000
panel,3,18.0,60.0,10.0,55.810774,37.79181,11990000
block,7,12.0,62.0,8.0,55.765655,37.829862,10200000
monolithBrick,19,26.0,61.0,16.0,55.753792000000004,37.79737,15000000
brick,5,5.0,60.0,6.0,55.819894,37.867412,6990000
panel,6,24.0,61.3,11.4,55.720408,37.898241999999996,7385000
panel,5,9.0,60.3,7.0,55.73709100000001,37.837336,7990000
panel,6,9.0,61.0,6.0,55.719156000000005,37.831219,7900000
panel,2,9.0,61.0,6.2,55.72237,37.808653,8400000
panel,4,9.0,60.0,6.0,55.72271,37.830518,8400000
panel,9,9.0,61.4,15.0,55.777277000000005,37.820529,8500000
panel,2,9.0,60.2,6.0,55.736726000000004,37.824508,8700000
panel,4,9.0,60.3,8.0,55.825168000000005,37.830446,8700000
panel,5,9.0,60.0,6.0,55.754355000000004,37.831362,8700000
panel,1,12.0,62.0,6.0,55.77158000000001,37.83916,8700000
panel,5,9.0,60.0,6.0,55.76264200000001,37.836447,8800000
panel,3,9.0,60.0,6.0,55.718187,37.831821000000005,8900000
panel,9,9.0,60.0,6.0,55.764637,37.823188,9000000
panel,2,9.0,60.0,6.0,55.816303000000005,37.813477,9200000
block,6,17.0,61.0,9.0,55.820986,37.752886,9250000
block,6,17.0,61.0,9.0,55.820986,37.752886,9250000
panel,6,9.0,60.1,8.0,55.779823,37.836869,9300000
panel,15,24.0,61.0,13.0,55.723911,37.907602000000004,9400000
panel,6,12.0,62.0,13.0,55.712239000000004,37.893382,9350000
panel,5,9.0,61.2,10.1,55.823803000000005,37.814034,9500000
panel,7,9.0,60.0,6.0,55.813116,37.822748,9990000
panel,8,9.0,62.0,6.8,55.81530600000001,37.804826,9950000
panel,4,9.0,60.0,9.0,55.732524,37.833438,10150000
monolith,13,18.0,60.0,9.0,55.828070999999994,37.811267,10300000
brick,4,5.0,60.0,6.0,55.791359,37.798673,10700000
monolith,11,22.0,61.0,12.0,55.810607,37.793382,10990000
panel,4,17.0,61.0,13.0,55.812863,37.787677,11000000
panel,7,12.0,60.0,13.0,55.709064,37.890957,11090000
panel,7,12.0,60.0,13.0,55.709064,37.890957,11100000
panel,2,9.0,60.0,6.0,55.79139,37.802696999999995,11200000
panel,3,17.0,60.0,13.0,55.811958,37.796427,11200000
brick,6,7.0,60.7,13.0,55.745183999999995,37.789573,11700000
brick,3,6.0,61.0,7.0,55.782268,37.712354,11800000
panel,2,13.0,60.2,10.5,55.74388199999999,37.80576,12000000
brick,8,8.0,60.0,9.0,55.802422,37.798303999999995,12000000
monolithBrick,5,18.0,60.0,10.9,55.807809999999996,37.789896,12650000
panel,5,24.0,61.0,10.0,55.79272099999999,37.733284000000005,13300000
panel,4,9.0,60.0,6.0,55.794755,37.71654,15650000
monolithBrick,4,16.0,60.5,11.0,55.820131999999994,37.702769,16499000
monolith,8,12.0,60.0,10.0,55.819287,37.702040999999994,17000000
monolithBrick,4,16.0,62.0,14.0,55.78550799999999,37.736948999999996,18000000
panel,9,9.0,61.0,6.0,55.766380000000005,37.835692,7000000
panel,9,9.0,61.0,6.2,55.738525,37.834462,7200000
panel,7,9.0,60.4,6.0,55.816885,37.823017,7700000
panel,8,9.0,60.8,6.2,55.721087,37.813809,7900000
panel,4,9.0,60.0,6.0,55.821172999999995,37.828883000000005,8500000
panel,1,9.0,61.9,6.7,55.817657999999994,37.812049,8500000
panel,7,9.0,60.4,8.1,55.81958,37.815785999999996,8600000
panel,4,9.0,60.3,8.0,55.825168000000005,37.830446,8700000
panel,6,9.0,60.0,6.0,55.813308,37.82485,8799000
panel,9,9.0,60.0,15.0,55.777277000000005,37.820529,8890000
panel,7,9.0,60.0,6.0,55.72237,37.808653,8900000
panel,3,14.0,62.0,10.0,55.713299,37.88483,8990000
block,2,9.0,60.3,8.0,55.811138,37.808689,8900000
panel,8,24.0,61.0,12.0,55.72275,37.895511,9000000
panel,2,9.0,60.0,7.0,55.72271,37.830518,9000000
panel,11,12.0,60.5,12.0,55.71128,37.880491,9250000
panel,11,16.0,60.0,8.5,55.765215000000005,37.789932,9500000
stalin,1,5.0,61.5,7.1,55.798429000000006,37.788737,9490000
panel,5,9.0,61.2,10.1,55.823803000000005,37.814034,9500000
panel,2,9.0,61.0,6.0,55.806155000000004,37.770097,9600000
brick,1,5.0,60.9,8.0,55.777525,37.714456,9950000
panel,4,9.0,60.0,7.0,55.740801,37.82591,10000000
panel,11,25.0,61.0,14.0,55.775271999999994,37.738628999999996,10270000
panel,5,9.0,60.0,6.0,55.784091000000004,37.690731,10400000
panel,7,9.0,60.0,7.0,55.784091000000004,37.690731,10750000
panel,9,12.0,60.1,13.2,55.712852000000005,37.889654,10950000
monolithBrick,22,22.0,62.0,10.8,55.810607,37.793382,11000000
monolithBrick,10,10.0,62.0,11.0,55.812580000000004,37.810216,12200000
panel,8,9.0,60.0,6.5,55.737953000000005,37.824436,12500000
panel,10,22.0,62.0,11.3,55.723876000000004,37.821355,12680000
brick,5,10.0,62.0,8.0,55.781555000000004,37.741818,12700000
brick,4,6.0,62.0,17.0,55.7964,37.69684,14500000
panel,8,9.0,63.0,6.0,55.825056999999994,37.817232000000004,8400000
block,1,12.0,64.0,9.5,55.764869999999995,37.728245,9900000
panel,17,17.0,63.0,13.0,55.72161,37.898799,10500000
panel,8,9.0,63.0,7.0,55.812241,37.81919,10000000
panel,9,9.0,63.0,6.0,55.71582900000001,37.82926,8700000
block,1,12.0,63.4,10.0,55.77309399999999,37.736042,10500000
panel,10,14.0,63.0,8.1,55.798859,37.799832,13500000
monolith,30,30.0,64.0,10.0,55.809965000000005,37.727975,15300000
panel,7,9.0,63.0,8.0,55.81965600000001,37.832871999999995,7850000
brick,1,9.0,64.0,6.0,55.757713,37.83766,8500000
panel,8,9.0,64.0,6.0,55.742134,37.832243,8700000
panel,8,9.0,64.0,6.0,55.742134,37.832243,8700000
panel,9,9.0,63.5,8.0,55.82575,37.823125,8900000
block,9,12.0,63.9,9.0,55.821344999999994,37.786141,9500000
panel,11,12.0,64.0,9.0,55.713522,37.883114,9700000
panel,3,16.0,63.4,12.9,55.711133,37.895026,10199999
panel,3,17.0,63.4,13.0,55.71586,37.882926,10200000
panel,3,12.0,64.0,9.2,55.754051000000004,37.813782,10200000
panel,3,12.0,64.0,9.0,55.754051000000004,37.813782,10200000
panel,2,9.0,63.1,9.8,55.794988000000004,37.730302,10700000
panel,9,9.0,64.0,6.0,55.814204000000004,37.821867,10900000
block,8,14.0,64.0,8.0,55.768122,37.835522,11000000
panel,2,16.0,63.7,7.9,55.766653000000005,37.833545,11000000
monolithBrick,1,12.0,64.0,10.0,55.77309399999999,37.736042,11000000
block,1,12.0,64.0,9.3,55.77309399999999,37.736042,11900000
panel,6,14.0,63.4,12.9,55.807258,37.778775,12000000
brick,1,12.0,63.0,6.0,55.790641,37.798834,7499000
panel,1,12.0,63.0,7.0,55.733254,37.830635,8000000
panel,9,9.0,64.0,6.0,55.72095600000001,37.811015999999995,8400000
panel,1,9.0,64.0,8.3,55.733619,37.824005,8400000
panel,2,9.0,63.1,6.0,55.71663,37.82255,8750000
panel,2,9.0,63.1,6.0,55.71663,37.82255,8750000
panel,2,9.0,63.1,6.0,55.71663,37.82255,8750000
block,7,12.0,63.7,7.1,55.770011,37.833490999999995,9200000
panel,12,14.0,64.0,13.0,55.709617,37.895781,9490000
panel,6,14.0,64.0,9.0,55.74340600000001,37.862353999999996,9750000
block,12,12.0,64.0,9.0,55.815858,37.811096,9900000
block,1,12.0,63.0,9.0,55.789062,37.805428000000006,10000000
block,10,12.0,64.0,7.0,55.76879,37.835359999999994,10000000
panel,10,17.0,63.4,12.9,55.801632,37.767635999999996,10500000
panel,8,14.0,63.0,13.0,55.708891,37.888711,10500000
panel,3,12.0,64.0,13.0,55.712239000000004,37.893382,10600000
block,10,12.0,64.0,7.0,55.770011,37.833490999999995,10600000
brick,3,5.0,64.0,7.0,55.798970999999995,37.793372999999995,11200000
panel,6,9.0,63.3,8.3,55.799730000000004,37.823493,11300000
monolith,7,18.0,64.0,11.0,55.807809999999996,37.789896,12600000
monolith,9,14.0,63.0,14.0,55.809661,37.812677,12750000
panel,10,16.0,64.0,25.0,55.790808,37.811626000000004,13200000
block,10,14.0,63.0,8.5,55.791101,37.813926,13900000
monolith,11,22.0,64.0,8.5,55.814583,37.70496,14500000
block,4,12.0,63.0,7.0,55.786915,37.675872999999996,15000000
monolithBrick,1,16.0,64.0,14.0,55.754659,37.810072,14980000
panel,5,12.0,63.0,6.2,55.788824,37.672837,15347000
monolith,30,30.0,64.0,10.0,55.809965000000005,37.727975,15300000
monolithBrick,4,16.0,63.0,10.0,55.797883,37.716683,15500000
monolith,22,36.0,64.0,12.6,55.809965000000005,37.727975,16700000
monolith,3,15.0,63.5,11.0,55.795504,37.690057,22500000
panel,3,12.0,63.5,9.2,55.754051000000004,37.813782,10200000
panel,8,17.0,63.6,12.9,55.733031000000004,37.825505,13490000
panel,3,9.0,66.7,7.0,55.764602000000004,37.836564,9450000
brick,2,5.0,67.0,9.0,55.79187099999999,37.741009999999996,9800000
block,7,12.0,66.0,9.5,55.797371999999996,37.74154,11500000
block,11,12.0,66.4,9.3,55.793986,37.730185,13400000
block,12,14.0,65.0,9.0,55.776375,37.827545,10900000
panel,7,9.0,66.0,6.0,55.720342,37.825775,8950000
block,2,16.0,65.0,8.0,55.823591,37.825765999999994,10200000
